interval_from,interval_to,hcho_B0_min,hcho_B0_max,hcho_B0_mean,hcho_B0_stDev,hcho_B0_sampleCount,hcho_B0_noDataCount,shapefile,NUTS_ID,year,month,month_num
2024-04-01,2024-05-01,-0.000217362234252505,0.00031557842157781124,4.5413303323736036e-05,9.304729809634784e-05,65536,30103,NUTS_NL_01m_2024.shp,NL1,2024,April,4
2024-06-01,2024-07-01,-0.0002497784444130957,0.00033807643922045827,3.912689312165038e-05,9.631319638252042e-05,65536,58943,NUTS_NL_01m_2024.shp,NL1,2024,June,6
2024-07-01,2024-08-01,-0.00027404434513300657,0.00040307099698111415,0.00010170377050122902,0.0001095063567088092,65536,29056,NUTS_NL_01m_2024.shp,NL1,2024,July,7
2024-08-01,2024-09-01,-0.00017745413060765713,0.0003414819366298616,0.00011022915612863555,9.601170654722906e-05,65536,29056,NUTS_NL_01m_2024.shp,NL1,2024,August,8
2024-09-01,2024-10-01,-0.00035375013248994946,0.0005427518044598401,6.412299090239323e-05,0.00015239390375076868,65536,38056,NUTS_NL_01m_2024.shp,NL1,2024,September,9
2024-10-01,2024-11-01,-0.00027388453599996865,0.0004618119273800403,1.4429147908577463e-06,0.00014780059055606522,65536,63413,NUTS_NL_01m_2024.shp,NL1,2024,October,10
2018-04-01,2018-05-01,0.0002444095443934202,0.00038228582707233727,0.0003728286091268518,3.484949186917143e-05,65536,64982,NUTS_NL_01m_2024.shp,NL11,2018,April,4
2018-05-01,2018-06-01,-7.142960384953767e-05,0.00042389531154185534,0.00014771368023750557,9.286012504044234e-05,65536,43871,NUTS_NL_01m_2024.shp,NL11,2018,May,5
2018-06-01,2018-07-01,-0.00014886166900396347,0.0002969502529595047,8.506967143019524e-05,9.701665843643854e-05,65536,36854,NUTS_NL_01m_2024.shp,NL11,2018,June,6
2018-07-01,2018-08-01,-0.00010700207349145785,0.00034854188561439514,0.00011810772616138337,6.277529249838236e-05,65536,60606,NUTS_NL_01m_2024.shp,NL11,2018,July,7
2018-08-01,2018-09-01,-0.00010885559458984062,0.0001719202264212072,1.3872561699213263e-05,7.639284885829997e-05,65536,57215,NUTS_NL_01m_2024.shp,NL11,2018,August,8
2018-09-01,2018-10-01,-0.000144045174238272,0.00024185421352740377,9.635055475840235e-05,9.399893014368595e-05,65536,64042,NUTS_NL_01m_2024.shp,NL11,2018,September,9
2018-10-01,2018-11-01,-0.0002982520672958344,0.00043747780728153884,6.259713030250964e-05,0.00013853394361802574,65536,36854,NUTS_NL_01m_2024.shp,NL11,2018,October,10
2019-03-01,2019-04-01,-0.00023294157290365547,0.00029416283359751105,2.958161595764216e-05,8.069471244613687e-05,65536,42383,NUTS_NL_01m_2024.shp,NL11,2019,March,3
2019-04-01,2019-05-01,-0.00017814457532949746,0.0002778200141619891,7.095640354981221e-05,0.00010424343884611527,65536,52888,NUTS_NL_01m_2024.shp,NL11,2019,April,4
2019-05-01,2019-06-01,-4.687348337029107e-05,0.00026445614639669657,0.00011937219683027599,8.09028991532898e-05,65536,62273,NUTS_NL_01m_2024.shp,NL11,2019,May,5
2019-06-01,2019-07-01,-0.00013176765060052276,0.00021752760221716017,7.923083477436843e-05,7.909757211407793e-05,65536,37136,NUTS_NL_01m_2024.shp,NL11,2019,June,6
2019-08-01,2019-09-01,-0.0002453668275848031,0.0004628032329492271,0.0001531403427393435,0.000125268142801797,65536,36854,NUTS_NL_01m_2024.shp,NL11,2019,August,8
2019-09-01,2019-10-01,-0.00012301822425797582,0.0002684090577531606,3.284041294900665e-05,7.551980673260161e-05,65536,43741,NUTS_NL_01m_2024.shp,NL11,2019,September,9
2019-10-01,2019-11-01,-0.0003965627693105489,0.0003923027543351054,6.33193352578812e-05,0.00015307596300399132,65536,36854,NUTS_NL_01m_2024.shp,NL11,2019,October,10
2020-02-01,2020-03-01,-0.00037799071287736297,0.0004672980576287955,7.537765366480962e-05,0.00018115988017428843,65536,40119,NUTS_NL_01m_2024.shp,NL11,2020,February,2
2020-03-01,2020-04-01,-0.00030167936347424984,0.00032248880597762764,4.198633390278664e-05,0.0001226670331948429,65536,36854,NUTS_NL_01m_2024.shp,NL11,2020,March,3
2020-04-01,2020-05-01,-0.0002541351714171469,0.00012083206820534542,5.9099553651431205e-06,4.774882954103315e-05,65536,49095,NUTS_NL_01m_2024.shp,NL11,2020,April,4
2020-05-01,2020-06-01,-0.00013413109991233796,0.0002998920972459018,0.00010338593053525441,9.356464897966213e-05,65536,38901,NUTS_NL_01m_2024.shp,NL11,2020,May,5
2020-07-01,2020-08-01,-0.00019636136130429804,0.0003951016115024686,0.00010125154101431882,0.000122989836592487,65536,36854,NUTS_NL_01m_2024.shp,NL11,2020,July,7
2020-08-01,2020-09-01,-0.0001515381009085104,0.00025951594579964876,1.6891000762962923e-05,7.826420259846723e-05,65536,51006,NUTS_NL_01m_2024.shp,NL11,2020,August,8
2020-09-01,2020-10-01,-0.00023800344206392765,0.0002289440162712708,4.810713362401702e-05,0.0001119817580216379,65536,56978,NUTS_NL_01m_2024.shp,NL11,2020,September,9
2021-03-01,2021-04-01,-0.00013795826816931367,0.00021845032460987568,4.733687029501177e-05,7.221756095627918e-05,65536,36854,NUTS_NL_01m_2024.shp,NL11,2021,March,3
