,SUBID_A,SUBID_B
713,9556492,9500931
714,9556512,9500931
715,9556534,9500931
716,9556545,9500931
717,9556546,9500931
718,9556558,9500931
719,9556562,9500931
720,9556569,9500931
721,9556584,9500931
722,9556586,9500931
723,9556594,9500931
724,9556596,9500931
725,9556604,9500931
726,9556608,9500931
727,9556610,9500931
728,9556631,9500931
729,9556646,9500931
730,9556649,9500931
731,9556654,9500931
732,9556664,9500931
733,9556669,9500931
734,9556684,9500931
735,9556688,9500931
736,9556694,9500931
737,9556708,9500931
738,9556713,9500931
739,9556728,9500931
740,9556740,9500931
741,9556741,9500931
742,9556754,9500931
743,9556864,9500931
744,9556955,9500931
745,9557004,9500931
746,9557101,9500931
747,9557108,9500931
748,9562826,9500931
749,9562842,9500931
750,9562851,9500931
751,9562856,9500931
752,9562860,9500931
753,9562871,9500931
754,9562897,9500931
755,9562901,9500931
756,9562902,9500931
757,9562904,9500931
758,9562908,9500931
759,9562917,9500931
760,9562934,9500931
761,9562943,9500931
762,9562945,9500931
763,9562950,9500931
764,9562986,9500931
765,9563001,9500931
766,9563019,9500931
767,9563025,9500931
768,9563040,9500931
769,9563046,9500931
770,9563049,9500931
771,9563065,9500931
772,9563071,9500931
773,9563075,9500931
774,9563101,9500931
775,9563111,9500931
776,9563122,9500931
777,9563123,9500931
778,9563126,9500931
779,9563146,9500931
780,9563158,9500931
781,9563162,9500931
782,9563167,9500931
783,9563180,9500931
784,9563192,9500931
785,9563210,9500931
786,9563216,9500931
787,9563218,9500931
788,9563221,9500931
789,9563225,9500931
790,9563239,9500931
791,9563244,9500931
792,9563266,9500931
793,9563272,9500931
794,9563280,9500931
795,9563288,9500931
796,9563300,9500931
797,9563302,9500931
798,9563307,9500931
799,9563321,9500931
800,9563326,9500931
801,9563332,9500931
802,9563334,9500931
803,9563345,9500931
804,9563354,9500931
805,9500137,9501218
806,9500145,9501218
807,9500466,9501218
808,9500470,9501218
809,9500704,9501218
810,9501257,9501218
811,9521760,9501218
812,9521852,9501218
813,9521868,9501218
814,9521943,9501218
815,9521989,9501218
816,9522105,9501218
817,9522125,9501218
818,9522154,9501218
819,9522258,9501218
820,9556306,9501218
821,9556308,9501218
822,9556345,9501218
823,9556360,9501218
824,9556371,9501218
825,9556390,9501218
826,9556397,9501218
827,9556402,9501218
828,9556413,9501218
829,9556427,9501218
830,9556439,9501218
831,9556449,9501218
832,9556463,9501218
833,9556478,9501218
834,9556479,9501218
835,9556480,9501218
836,9556483,9501218
837,9556492,9501218
838,9556512,9501218
839,9556534,9501218
840,9556545,9501218
841,9556546,9501218
842,9556558,9501218
843,9556562,9501218
844,9556569,9501218
845,9556584,9501218
846,9556586,9501218
847,9556594,9501218
848,9556596,9501218
849,9556604,9501218
850,9556608,9501218
851,9556610,9501218
852,9556631,9501218
853,9556646,9501218
854,9556649,9501218
855,9556654,9501218
856,9556664,9501218
857,9556669,9501218
858,9556684,9501218
859,9556688,9501218
860,9556694,9501218
861,9556708,9501218
862,9556713,9501218
863,9556728,9501218
864,9556740,9501218
865,9556741,9501218
866,9556754,9501218
867,9556864,9501218
868,9556955,9501218
869,9557004,9501218
870,9557101,9501218
871,9557108,9501218
872,9562917,9501218
873,9562945,9501218
874,9563001,9501218
875,9563221,9501218
876,9563225,9501218
877,9563280,9501218
878,9563321,9501218
879,9500137,9501220
880,9500145,9501220
881,9500466,9501220
882,9500470,9501220
883,9500704,9501220
884,9521760,9501220
885,9521852,9501220
886,9521868,9501220
887,9521943,9501220
888,9521989,9501220
889,9522105,9501220
890,9522125,9501220
891,9522154,9501220
892,9522258,9501220
893,9556306,9501220
894,9556308,9501220
895,9556345,9501220
896,9556360,9501220
897,9556390,9501220
898,9556397,9501220
899,9556413,9501220
900,9556427,9501220
901,9556439,9501220
902,9556449,9501220
903,9556463,9501220
904,9556478,9501220
905,9556479,9501220
906,9556483,9501220
907,9556492,9501220
908,9556512,9501220
909,9556534,9501220
910,9556569,9501220
911,9556586,9501220
912,9556594,9501220
913,9556604,9501220
914,9556608,9501220
915,9556631,9501220
916,9556646,9501220
917,9556649,9501220
918,9556654,9501220
919,9556664,9501220
920,9556684,9501220
921,9556688,9501220
922,9556694,9501220
923,9556713,9501220
924,9556740,9501220
925,9556741,9501220
926,9556754,9501220
927,9556864,9501220
928,9556955,9501220
929,9557004,9501220
930,9557101,9501220
931,9557108,9501220
932,9501431,9501270
933,9562897,9501270
934,9562908,9501270
935,9563046,9501270
936,9563167,9501270
937,9563288,9501270
938,9563307,9501270
939,9563345,9501270
940,9563354,9501270
941,9501431,9501415
942,9562897,9501415
943,9563046,9501415
944,9563167,9501415
945,9563288,9501415
946,9563307,9501415
947,9563345,9501415
948,9563354,9501415
949,9521989,9521744
950,9521868,9521957
951,9521989,9521957
952,9521943,9521986
953,9521852,9522092
954,9521868,9522092
955,9521989,9522092
956,9522105,9522092
957,9522125,9522092
958,9521760,9522095
959,9522258,9522095
960,9521852,9522096
961,9522105,9522096
962,9522125,9522096
963,9521852,9522214
964,9522125,9522214
965,9500098,9535178
966,9535266,9535178
967,9500098,9535195
968,9500131,9535195
969,9500137,9535195
970,9500145,9535195
971,9500179,9535195
972,9500191,9535195
973,9500212,9535195
974,9500466,9535195
975,9500470,9535195
976,9500649,9535195
977,9500652,9535195
978,9500704,9535195
979,9500872,9535195
980,9500877,9535195
981,9500902,9535195
982,9500904,9535195
983,9500914,9535195
984,9500916,9535195
985,9500938,9535195
986,9501257,9535195
987,9501431,9535195
988,9521760,9535195
989,9521852,9535195
990,9521868,9535195
991,9521943,9535195
992,9521989,9535195
993,9522105,9535195
994,9522125,9535195
995,9522154,9535195
996,9522258,9535195
997,9535199,9535195
998,9535200,9535195
999,9535206,9535195
1000,9535211,9535195
1001,9535226,9535195
1002,9535229,9535195
1003,9535237,9535195
1004,9535266,9535195
1005,9535267,9535195
1006,9535271,9535195
1007,9535273,9535195
1008,9535278,9535195
1009,9535280,9535195
1010,9535295,9535195
1011,9535354,9535195
1012,9535370,9535195
1013,9535382,9535195
1014,9535398,9535195
1015,9535483,9535195
